hhid14_9,migrated_2007_2014,pidlink
42020007,,42020007
42020009,1,42020009
42024300,1,42020010
42020000,,42020011
42020000,0,42020012
42023100,1,42020013
42023100,,42023103
42024100,0,42024102
42024200,,42024203
42024300,,42024302
42020007,,42025101
42020009,,42025202
42030000,,42030001
42030000,,42030002
42030000,1,42030003
42030004,1,42030004
42033200,0,42030005
42033200,0,42030006
42033200,,42033203
42030000,1,42034101
42030004,,42035102
42040000,0,42040002
42043100,0,42040003
42151200,0,42040005
42040000,0,42040006
42043100,0,42040007
42040008,,42040008
42040009,,42040009
42040000,,42040011
42050000,,42050002
42050000,0,42050007
42050000,0,42050008
42053100,0,42053105
42060000,,42060002
42064100,0,42060003
42063100,0,42060004
42060000,0,42060005
42064203,1,42060007
42063100,0,42060009
42060010,,42060010
42060010,,42060011
42060010,,42060013
42060000,,42060014
42064203,0,42064203
42070000,0,42070002
42074100,1,42070003
42072100,0,42070006
42072100,0,42070007
42074100,,42074102
42080000,0,42080001
42080000,0,42080002
42084100,1,42080003
42080004,,42080004
42090000,0,42090001
42091100,,42090002
42090003,,42090003
42091100,,42091105
42090003,,42095101
42100000,0,42100001
42100000,1,42100002
42103100,1,42100003
42100000,1,42100005
42100000,,42100006
42103100,0,42103104
42110000,,42110004
42110000,,42110005
42120000,0,42120001
42120000,0,42120002
42124100,0,42120003
42124200,,42120004
42120005,1,42120005
42124100,0,42124101
42124200,0,42124203
42130000,0,42130001
42130000,0,42130002
42134100,0,42130004
42130000,0,42130005
42130006,1,42130006
42130007,,42130007
42130000,,42130010
42134100,0,42134102
42130006,,42135102
42130007,,42135201
42144100,0,42140001
42140000,0,42140002
42144200,0,42140003
42144303,0,42140004
42144100,0,42144102
42144200,0,42144201
42144303,0,42144303
42150000,0,42150001
42150000,0,42150002
42153100,0,42150004
42153200,0,42150005
42154100,0,42150006
42153300,0,42150007
42153400,0,42150008
42154200,0,42150009
42153500,,42150010
42153600,0,42150011
42153700,0,42150012
42153800,0,42150013
42151200,0,42150014
42154100,0,42150026
42153700,0,42150034
42154200,0,42152103
42153103,,42153103
42153200,0,42153201
42153300,0,42153301
42153400,0,42153402
42153403,,42153403
42153403,,42153404
42153500,0,42153504
42153600,0,42153605
42153600,,42153606
42153800,0,42153803
42160000,0,42160001
42160000,0,42160003
42160000,0,42160005
42160000,,42160007
42170000,0,42170001
42170000,1,42170002
42173100,0,42170003
42172100,,42170004
42173200,1,42170005
42170006,0,42170006
42172100,0,42170008
42172103,,42172103
42173100,0,42173101
42173100,,42173104
42173200,0,42173201
42170006,,42175102
42180000,,42180001
42183100,0,42180003
42183200,0,42180004
42184100,0,42180005
42184200,0,42180008
42183100,0,42180010
42183200,0,42180012
42180013,,42180013
42184100,0,42180014
42180000,,42180017
42180000,,42180018
42183104,,42183104
42184200,0,42184201
42190000,,42190001
42190000,,42190002
42193100,0,42190003
42190004,,42190004
42193100,0,42193102
42190004,,42195101
42200000,0,42200001
42200000,0,42200002
42200003,1,42200003
42200004,0,42200004
42200000,1,42200005
42200004,0,42200006
42200003,1,42204104
42220000,0,42220001
42222100,0,42220002
42224100,0,42220003
42220004,,42220004
42224100,0,42220006
42220000,,42220008
42222100,0,42222102
42223200,1,42223203
42220004,,42225102
42230000,,42230002
42234100,0,42230004
42230005,1,42230005
42230006,,42230006
42234200,1,42230007
42234100,0,42234101
42234200,,42234202
42230005,,42235101
42230006,,42235202
42240000,,42240001
42240000,,42240002
42240000,,42240003
42240000,,42240004
42240000,,42240005
42250000,0,42250001
42250000,0,42250002
42250003,0,42250003
42250003,,42255101
42260000,0,42260001
42260000,0,42260002
42264100,0,42260003
42260004,0,42260004
42264200,1,42260005
42260000,1,42260006
42260007,,42260007
42264100,0,42263103
42264200,,42264202
42270000,,42270002
42280000,0,42280001
42280000,0,42280002
42284100,1,42280003
42280000,1,42280004
42280005,1,42280005
42280000,,42280006
42280000,,42280008
42284100,,42284103
42290000,,42290003
42290000,,42290004
42300000,0,42300002
42300000,0,42300003
42300004,1,42300004
42300005,,42300005
42300000,,42300007
43010000,0,43010001
43014100,1,43010003
43010004,,43010004
43010000,0,43010006
43014100,,43014103
43010004,,43015101
43020000,0,43020003
43020000,0,43020004
43020000,0,43020006
43020000,,43020010
43030000,0,43030001
43030000,0,43030002
43033100,1,43030003
43033200,1,43030004
43034100,,43030005
43030006,1,43030006
43030000,,43030008
43033100,1,43033102
43033100,,43033104
43033200,0,43033201
43034100,1,43034102
43030006,,43035101
43040000,0,43040001
43040000,0,43040002
43060000,0,43060001
43060000,0,43060002
43060000,,43060004
43064100,0,43060005
43060006,1,43060006
43060006,1,43060008
43070000,,43070003
43074103,1,43070004
43074103,,43070006
43070000,,43070013
43074103,0,43074103
43080000,0,43080001
43080000,0,43080002
43080003,1,43080003
43080000,,43080004
43080003,,43085102
43090000,1,43090001
43094100,0,43090003
43064100,0,43090005
43090000,,43090009
43094100,0,43094103
43100000,0,43100001
43100000,0,43100002
43104100,0,43100003
43100000,0,43100004
43100000,,43100006
43104100,0,43104102
43110000,0,43110001
43113100,0,43110003
43110000,,43110005
43110000,,43110006
43113100,0,43113103
43120000,0,43120001
43120000,0,43120002
43120003,0,43120003
43120004,,43120004
43123100,1,43120005
43120000,,43120007
43120003,0,43120009
43123100,1,43123104
43123100,,43123105
43130000,0,43130001
43130000,0,43130002
43134100,0,43130003
43130004,,43130004
43130000,,43130005
43134100,0,43134101
43130004,,43135102
43140000,0,43140002
43140000,,43140003
43140000,,43140012
43140000,,43140015
43154100,0,43150003
43154200,0,43150006
43154300,0,43150007
43154100,,43150013
43150000,0,43150014
43154200,0,43154201
43154300,,43154301
43160000,,43160001
43160000,0,43160002
43160004,1,43160004
43161100,,43160005
43160006,,43160006
43161100,,43161104
43161100,,43161105
43161100,,43161106
43164100,1,43164102
43160004,,43165103
43160006,,43165203
43170000,0,43170002
43174100,1,43170003
43170000,1,43170005
43170000,0,43170006
43170000,,43170007
43170000,0,43170008
43170010,,43170010
43170000,,43170012
43174100,1,43174101
43170010,,43175101
43180000,,43180001
43180000,,43180006
43190000,0,43190001
43190000,0,43190002
43192100,0,43190004
43194100,0,43190005
43190006,0,43190006
43194200,0,43190007
43192100,0,43190011
43192100,,43192103
43194100,0,43194102
43194200,0,43194201
43190006,,43195102
43200000,,43200001
43200003,,43200003
43200000,,43200004
43200006,,43200006
43204200,0,43200012
43201100,,43200014
43200015,,43200015
43200000,0,43200016
43200000,1,43200017
43200000,0,43200018
43200003,,43200020
43200000,0,43200028
43200015,1,43200029
43200000,0,43203102
43200000,1,43203109
43203110,,43203110
43200000,,43203111
43210000,0,43210001
43210000,0,43210002
43210000,,43210004
43214100,0,43210005
43210006,,43210006
43210007,,43210007
43210006,,43215102
43210007,,43215202
43220000,0,43220002
43220000,0,43220003
43223100,0,43220004
43224100,0,43220006
43220000,0,43220008
43223100,0,43223101
43224100,0,43224102
43224100,,43224103
43230000,,43230003
43230000,0,43230004
43230000,,43230005
43234100,,43234104
43234100,,43234105
43240003,1,43240003
43240000,0,43240005
43240000,0,43240006
43243100,0,43240008
43240000,,43240012
43243100,0,43240013
43240000,,43240014
43242100,0,43242102
43243100,,43243103
43250000,0,43250001
43250000,,43250002
43252100,0,43250003
43250004,0,43250004
43250005,0,43250005
43254100,1,43250006
43254200,0,43250007
43250008,,43250008
43252100,0,43250009
43250000,,43250011
43250000,,43250012
43250004,0,43253104
43250004,,43253105
43254100,1,43254102
43254200,0,43254203
43250005,,43255202
43250008,,43255302
43260000,,43260001
43260000,,43260002
43264100,0,43260003
43264200,,43260004
43263100,0,43260005
43260000,0,43260006
43264100,0,43260007
43264100,,43260010
43260011,,43260011
43260000,0,43260012
43260000,0,43260013
43263100,0,43263101
43264200,1,43264202
43264200,,43264203
43264200,,43264204
43270000,0,43270003
43270000,0,43270004
43270005,0,43270005
43270000,0,43270007
43270000,,43270008
43270005,1,43270010
43271100,,43270011
43270000,,43270012
43270013,,43270013
43271100,0,43271103
43271100,,43271106
43270013,,43275201
43280000,0,43280001
43280003,1,43280003
43280004,1,43280004
43280005,,43280005
43280000,,43280008
43280003,1,43280009
43290000,0,43290001
43290000,0,43290002
43290000,,43290005
43300000,0,43300002
43301100,0,43300003
43300000,0,43300004
43300005,1,43300005
43300000,0,43300007
43301100,0,43301101
43300005,,43305102
44010000,0,44010002
44010000,0,44010003
44013100,,44013103
44013100,,44013104
44020000,0,44020001
44020000,0,44020002
44020003,1,44020003
44020000,1,44020004
44020005,,44020005
44020000,,44020006
44020003,,44025102
44030000,0,44030003
44030000,0,44030004
44030007,1,44030007
44034100,0,44030008
44034200,0,44030009
44030000,,44030010
44030007,1,44030012
44030000,,44030013
44034100,0,44034101
44034200,0,44034202
44040000,0,44040001
44040000,0,44040002
44044100,1,44040004
44044100,,44044103
44050000,0,44050001
44054100,1,44050002
44050004,,44050004
44050000,0,44050006
44050000,1,44050007
44050008,,44050008
44050000,,44050009
44050000,,44050011
44054100,,44054103
44050004,,44055102
44060000,0,44060001
44060000,0,44060002
44060000,,44060004
44060005,,44060005
44060005,,44065103
44080000,0,44080001
44080000,0,44080002
44080003,0,44080003
44080000,1,44080004
44080003,,44085101
44090000,,44090001
44090000,0,44090002
44094100,1,44090003
44090000,1,44090004
44090005,1,44090005
44100000,0,44100002
44100003,1,44100003
44104100,1,44100004
44104100,1,44100005
44104100,1,44100006
44100000,,44100007
44104100,,44104105
44100003,,44105101
44114100,0,44110001
44114100,0,44110002
44110000,0,44110004
44110000,0,44110005
44120000,1,44120001
44120000,1,44120002
44120003,1,44120003
44124100,1,44120004
44121100,1,44120005
44120000,,44120007
44120000,1,44121105
44120003,,44125102
44130000,0,44130002
44130004,0,44130004
44130000,0,44130005
44130000,0,44130006
44130000,,44130007
44130000,,44130008
44130004,0,44133104
44140000,,44140001
44143100,1,44140002
44140000,,44140004
44140000,,44140005
44143100,1,44143102
44143103,1,44143103
44143103,,44143104
44150000,0,44150002
44154100,0,44150004
44150005,0,44150005
44151100,0,44150006
44154204,1,44150007
44154100,,44150010
44150000,,44150011
44150000,,44150012
44151100,0,44151106
44154204,0,44154204
44160000,,44160001
44160000,0,44160002
44160000,0,44160003
44164100,1,44160005
44160000,0,44160007
44164100,,44164104
44173100,0,44170002
44183100,0,44180001
44180002,0,44180002
44180000,,44180006
44183200,,44180007
44180000,0,44180008
44180009,,44180009
44183200,,44180010
44180000,,44180011
44180002,0,44181108
44183100,0,44183101
44180009,,44185201
44190000,0,44190002
44192100,0,44190003
44192100,1,44192101
44192100,,44192103
44214100,1,44210001
44214100,1,44210002
44210000,0,44210003
44210000,0,44210004
44230000,,44230001
44230000,0,44230002
44234100,0,44230003
44234200,1,44230004
44230000,0,44230005
44234300,0,44230006
44230000,,44230007
44230000,,44230010
44234100,,44234101
44234200,1,44234202
44240000,1,44240001
44240000,1,44240002
44244100,1,44240003
44244200,0,44240004
44240000,,44240006
44244100,,44244103
44244200,0,44244201
44250000,,44250001
44250000,0,44250002
44250003,0,44250003
44254100,1,44250004
44250000,,44250005
44254100,,44254103
44260003,1,44260003
44260004,,44260004
44260000,1,44260005
44260000,,44260006
44263100,,44263105
44263100,,44263107
44260003,,44265102
44290000,0,44290003
44290005,1,44290005
44290000,0,44290006
44294100,1,44294101
44290005,,44295102
44300000,0,44300001
44300000,,44300002
44302100,0,44300003
44302100,0,44300004
44300000,,44300005
44303100,0,44300006
44300000,0,44300009
44304200,0,44300010
44304200,,44300011
44300012,,44300012
44302100,,44302106
44304100,0,44304102
45010000,0,45010001
45010000,0,45010002
45010000,,45010004
45010005,0,45010005
45010000,0,45010006
45010000,,45010007
45014100,0,45014101
45020000,0,45020002
45020000,0,45020003
45030000,0,45030002
45030000,0,45030003
45030000,1,45030004
45040000,,45040005
45050000,0,45050001
45050000,0,45050002
45050000,,45050003
45060000,,45060002
45064100,1,45060003
45063100,1,45060004
45060000,0,45060005
45060006,0,45060006
45060000,0,45060009
45063100,0,45063101
45064100,1,45064101
45070000,0,45070002
45070000,1,45070004
45070000,0,45070005
45070006,,45070006
45070000,,45070009
45070000,,45070010
45070006,,45075101
45100001,0,45100001
45100001,0,45100002
45104100,0,45100004
45104200,0,45100005
45100001,1,45100006
45100000,0,45100007
45104100,,45104101
45104200,0,45104202
45100001,,45105104
45110000,,45110003
45110000,,45110004
45110000,,45110005
45110000,,45110007
45114100,,45110008
45114100,,45110009
45110000,0,45110010
45120000,0,45120001
45120000,,45120005
45120000,0,45120006
45140000,,45140002
45140000,0,45140005
45140000,,45140009
45150000,0,45150002
45153300,0,45150004
45153400,0,45150005
45154100,0,45150006
45153200,1,45150007
45153400,1,45150008
45150009,1,45150009
45153400,,45150012
45153400,,45150013
45150000,,45150015
45150000,,45150016
45153100,0,45153102
45153100,0,45153103
45153100,0,45153106
45153100,,45153108
45153200,,45153207
45153300,0,45153302
45154100,1,45154102
45150009,,45155101
45160000,1,45160002
45160000,0,45160003
45170000,1,45170002
45174100,1,45170003
45170000,0,45170004
45170000,,45170006
45174100,,45170007
45170000,0,45170008
45180000,1,45180001
45180000,0,45180002
45183200,0,45180003
45183100,1,45180004
45180000,0,45180005
45184100,0,45180006
45184200,1,45180007
45184200,1,45180008
45183200,0,45180010
45183200,,45180011
45180000,,45180012
45183100,1,45183103
45183200,,45183204
45184100,0,45184101
45190000,0,45190002
45190000,,45190005
45190000,,45190006
45210000,0,45210004
45210000,1,45210006
45210000,,45210013
45220000,0,45220001
45220000,0,45220002
45220000,0,45220004
45220005,1,45220005
45220000,1,45220006
45220000,0,45220007
45220005,,45225102
45230000,0,45230001
45230000,0,45230002
45230005,1,45230005
45230000,,45230008
45230005,,45235102
45240000,0,45240001
45240000,0,45240002
45244100,1,45240003
45240000,1,45240005
45244300,1,45240006
45240007,0,45240007
45244100,,45244107
45240000,1,45244202
45244300,1,45244301
45252100,1,45250002
45250000,,45250006
45250000,,45250007
45252100,1,45252106
45252100,,45252107
45260000,0,45260003
45263200,0,45260004
45260005,0,45260005
45260006,0,45260006
45260000,0,45260009
45260000,,45260010
45263200,0,45263202
45260005,,45265102
45260006,,45265202
45270000,0,45270003
45273100,1,45270004
45270000,,45270008
45270000,,45270009
45273100,1,45273101
45273100,,45273103
45273100,,45273104
45280000,0,45280002
45280000,1,45280003
45280000,0,45280004
45283100,0,45280005
45280000,0,45280009
45283100,,45283104
45290000,0,45290001
45293100,,45290003
45294100,,45290005
45294200,0,45290006
45290007,,45290007
45294300,1,45290008
45293100,0,45290009
45293100,1,45290010
45290000,0,45290011
45293100,,45293104
45293100,,45293105
45294100,0,45294102
45294200,0,45294202
45294300,1,45294301
45290007,,45295102
45300000,,45300002
45304100,0,45300003
45303100,,45300004
45300000,0,45300006
45300000,0,45300007
45304100,1,45300008
45303100,0,45303102
45303100,,45303103
45303100,,45303104
46014100,0,46010003
46020000,1,46020001
46020000,,46020002
46020000,1,46020003
46024100,1,46020004
46024200,1,46020005
46020000,,46020008
46024100,,46024102
46030000,1,46030001
46030000,0,46030002
46030003,0,46030003
46030003,,46035101
46040000,1,46040001
46040000,1,46040002
46040000,1,46040003
46040000,1,46040004
46050000,1,46050002
46053100,0,46050003
46054100,1,46050005
46050000,0,46050006
46050008,1,46050008
46050009,,46050009
46050009,,46050010
46050008,1,46050011
46053100,1,46052102
46052200,1,46052204
46052200,,46052208
46053100,,46053103
46054100,1,46054102
46060000,0,46060001
46063100,0,46060002
46063200,1,46060003
46060000,,46060004
46060005,1,46060005
46060005,1,46060007
46060000,,46060008
46060000,,46060009
46063100,0,46063101
46063200,1,46063202
46070000,,46070002
46073100,,46070003
46074100,0,46070004
46074200,1,46070005
46070000,,46070006
46070000,,46070007
46073100,,46073102
46074100,0,46074101
46074200,,46074201
46080000,0,46080001
46080000,0,46080002
46080003,1,46080003
46080000,,46080005
46080003,,46085101
46090000,0,46090001
46090000,0,46090002
46100000,1,46100001
46100000,1,46100003
46101100,0,46100006
46100000,,46100010
46101100,,46101108
46110000,0,46110001
46110000,0,46110002
46110000,1,46110004
46130000,0,46130001
46130000,0,46130002
46134100,0,46130003
46131100,,46130005
46131100,,46131105
46140000,,46140002
46140003,1,46140003
46140000,0,46140004
46140000,,46140007
46140003,,46145102
46150000,0,46150002
46150004,0,46150004
46150000,,46150005
46150000,,46150007
46150004,,46155103
46160000,0,46160001
46160000,0,46160002
46160000,1,46160003
46160004,1,46160004
46160005,1,46160005
46160004,,46165102
46160005,,46165204
46171100,0,46170003
46173100,,46170004
46170000,1,46170005
46170000,0,46170006
46170000,,46170007
46171100,0,46171102
46173100,,46173101
46182100,0,46180002
46184100,0,46180003
46180000,0,46180004
46180000,0,46180005
46180006,,46180006
46184100,0,46182103
46182105,,46182105
46182100,0,46182106
46190000,0,46190001
46190000,1,46190002
46190000,1,46190003
46193100,0,46190004
46190005,,46190005
46193100,0,46193102
46200002,,46200002
46201100,0,46200003
46200002,0,46200005
46200000,,46200008
46200000,,46200009
46200000,0,46200011
46201100,0,46201101
46203100,1,46203102
46200002,,46205103
47010000,,47010002
47010003,1,47010003
47010004,0,47010004
47010005,,47010005
47014100,0,47010006
47010000,,47010007
47010000,,47010009
47010003,,47015102
47010004,,47015202
47010005,,47015302
47020000,,47020005
47020000,,47020007
47030000,0,47030002
47031100,0,47030003
47030004,,47030004
47030000,1,47030005
47031100,,47030008
47031100,,47030009
47030000,,47030010
47030004,,47035102
47040000,0,47040001
47040000,0,47040002
47044100,0,47040004
47040000,1,47040005
47040000,0,47040007
47040000,,47040008
47044100,0,47044102
47050000,0,47050001
47050000,0,47050002
47050000,1,47050003
47050004,1,47050004
47060000,0,47060002
47060004,0,47060004
47060000,,47060007
47060004,,47065102
47080000,0,47080002
47084100,0,47080004
47084200,0,47080005
47080000,1,47080006
47080000,,47080007
47084100,,47084101
47084200,0,47084201
47100000,0,47100003
47110000,0,47110001
47110000,0,47110002
47110000,0,47110003
47110000,,47110004
47110000,,47110005
47120000,0,47120001
47120000,0,47120002
47120003,0,47120003
47124100,0,47120004
47124200,0,47120005
47120000,0,47120006
47124100,0,47124102
47124200,0,47124202
47120003,,47125102
47130000,0,47130001
47130000,1,47130002
47130003,,47130003
47134100,1,47130004
47131100,1,47130005
47130006,1,47130006
47014100,0,47130007
47130006,1,47130008
47131100,1,47131101
47131100,,47131103
47134100,1,47134102
47140000,0,47140001
47140000,0,47140002
47143100,1,47140004
47143200,,47140006
47140000,0,47140007
47140000,,47140010
47143100,1,47143102
47143200,,47143203
47150002,,47150002
47154100,1,47150003
47150000,0,47150004
47150005,1,47150005
47150002,1,47150006
47150000,,47150007
47154100,1,47154102
47150002,,47155101
47150005,,47155201
47160000,0,47160002
47160003,1,47160003
47160006,0,47160006
47160007,,47160007
47160003,,47165102
47160007,,47165302
47170000,0,47170001
47170000,,47170002
47174100,0,47170004
47174100,0,47174101
47180000,0,47180001
47180000,0,47180002
47180003,,47180003
47180003,,47185101
47192100,0,47190001
47193100,1,47190002
47190000,1,47190003
47190000,,47190006
47190000,0,47190008
47190000,,47190012
47190000,0,47190016
47190000,,47190017
47192100,0,47192104
47192100,,47192107
47193100,,47193105
47193100,,47193108
47200000,0,47200001
47200000,0,47200002
47200003,1,47200003
47200004,1,47200004
47200000,0,47200005
47200003,,47205102
47200004,,47205201
47210000,0,47210001
47210000,0,47210002
47210000,1,47210003
47210000,,47210006
47220000,0,47220001
47220004,1,47220004
47220000,1,47220005
47220000,,47220009
47220004,,47225101
47230000,0,47230001
47230000,0,47230002
47233100,1,47230003
47234100,0,47230004
47230006,1,47230006
47233100,1,47233106
47234100,1,47234102
47230006,,47235102
47240000,0,47240001
47240003,1,47240003
47240000,,47240004
47240000,0,47240005
47242100,1,47240006
47240000,,47240010
47242100,1,47242104
47240003,,47245101
47250000,0,47250001
47250000,0,47250002
47250000,0,47250003
47254100,0,47250004
47250005,1,47250005
47253100,0,47250006
47253100,0,47253103
47254100,0,47254102
47270000,0,47270001
47270000,1,47270002
47274100,1,47270003
47270000,0,47270004
47274100,1,47274102
47281100,0,47280003
47280000,0,47280006
47280000,0,47280008
47281100,,47281107
47290000,0,47290001
47290000,0,47290002
47290006,0,47290006
47290000,,47290007
47290006,,47295102
47300000,0,47300001
47300000,1,47300002
47303100,0,47300003
47303200,,47300004
47300000,0,47300005
47300006,0,47300006
47303100,1,47303102
47303100,,47303103
47303200,0,47303201
47303200,,47303203
47300000,,47303204
47300006,,47305102
48010005,0,48010005
48011100,0,48010006
48011100,,48011104
48011100,,48011105
48010005,,48015002
48033100,1,48030004
48033100,1,48033102
48050000,0,48050001
48050000,0,48050002
48050003,,48050003
48050000,,48050004
48060000,0,48060001
48060000,0,48060004
48060000,0,48060005
48070000,0,48070006
48073100,,48073104
48094100,0,48090004
48090000,0,48090005
48094100,,48090006
48090000,,48090010
48100000,0,48100002
48100004,0,48100004
48104100,0,48100005
48100000,0,48100006
48104100,0,48104101
48100004,,48105102
48110000,0,48110001
48110000,,48110002
48110000,,48110005
48120000,0,48120001
48120000,0,48120002
48121100,0,48120004
48124100,1,48120005
48120006,1,48120006
48120000,0,48120007
48120006,1,48120008
48120000,0,48120009
48121100,0,48121104
48124100,,48124105
48120006,,48125101
48130000,0,48130002
48133100,0,48130003
48133200,0,48130004
48130005,0,48130005
48130000,,48130008
48133200,0,48130009
48130005,0,48130014
48133100,0,48133102
48133100,,48133103
48133100,,48133104
48133200,,48133203
48140000,0,48140001
48140000,0,48140002
48160000,1,48160001
48160000,,48160002
48161100,0,48160003
48161100,0,48160005
48160000,,48160008
48160000,,48160009
48163100,0,48163102
48174100,0,48170002
48174200,0,48170003
48174100,,48170004
48170005,1,48170005
48170000,,48170009
48170000,1,48170010
48170000,,48170012
48174100,,48174104
48170005,,48175102
48180000,0,48180001
48180000,0,48180002
48180003,1,48180003
48180004,1,48180004
48184100,1,48180005
48180003,,48185104
48190000,0,48190001
48190000,0,48190002
48194100,0,48190003
48190005,,48190005
48190000,0,48190006
48194100,1,48194102
48190005,,48195102
48200000,,48200001
48200000,,48200002
48204100,0,48200003
48200000,1,48200004
48200000,,48200006
48204100,0,48204102
48210000,,48210001
48210000,0,48210002
48210000,0,48210005
48220000,0,48220001
48220000,0,48220002
48220000,1,48220006
48224100,1,48220008
48230000,0,48230002
48230003,1,48230003
48230003,,48235101
48280000,,48280001
48280000,,48280002
48294100,1,48290002
48294200,0,48290003
48294300,0,48290005
48294400,0,48290006
48290007,1,48290007
48294300,,48290008
48294100,1,48294101
48294200,0,48294201
48294200,,48294203
48294300,0,48294301
48294400,,48294401
48290007,,48295001
49010000,0,49010001
49010000,0,49010002
49011100,1,49010003
49020000,,49020002
49024100,0,49020003
49020000,0,49020004
49020000,,49020005
49020000,,49020007
49030000,1,49030001
49030000,1,49030004
49034100,1,49030006
49030000,,49030007
49030000,1,49030010
49034100,1,49034101
49041100,0,49040003
49041100,0,49040004
49041100,,49041103
49041100,,49041104
49074100,0,49070003
49070000,1,49070006
49070000,,49070007
49074100,0,49074101
49080000,0,49080002
49080003,1,49080003
49080000,1,49080004
49080000,,49080005
49080003,,49085102
49100000,,49100002
49100003,1,49100003
49102100,1,49100004
49100000,,49100005
49100000,1,49100006
49100000,,49100008
49102100,1,49102110
49102100,,49102111
49120000,0,49120001
49120000,0,49120002
49120000,,49120003
49124100,1,49120004
49120005,,49120005
49120005,,49125102
49130000,1,49130001
49130000,1,49130003
49130000,,49130004
49130000,,49130008
49140000,1,49140001
49140000,1,49140002
49140003,1,49140003
49144101,1,49140004
49140005,1,49140005
49140000,1,49140006
49140000,,49140009
49144101,1,49144101
49144200,1,49144202
49140003,,49145101
49140005,,49145201
49150000,0,49150003
49153100,1,49150004
49153100,1,49153101
49153100,,49153103
49160000,0,49160001
49160000,0,49160002
49160003,,49160003
49160004,1,49160004
49160000,,49160006
49160003,,49165104
49170000,0,49170001
49170000,0,49170002
49180000,0,49180001
49180000,0,49180002
49184100,1,49180004
49180000,0,49180006
49184100,1,49184101
49194100,0,49190005
49194200,1,49190007
49193100,0,49190009
49194100,0,49190016
49193100,0,49193101
49193100,,49193103
49193100,,49193104
49194200,1,49194202
49200000,,49200001
49200000,0,49200002
49200000,,49200003
49200000,,49200004
49204100,1,49200005
49200000,1,49200006
49200000,,49200009
50010000,1,50010001
50010000,1,50010002
50010000,1,50010003
50010000,,50010004
50010000,,50010005
50010000,,50010006
50010000,,50010007
50020000,1,50020001
50020000,0,50020002
50024100,1,50020004
50024200,1,50020005
50023100,1,50020006
50020000,,50020009
50020000,,50020010
50023100,1,50020012
50023100,,50020013
50023100,,50023104
50024100,1,50024101
50024200,0,50024202
50034100,0,50030003
50030000,0,50030005
50030000,,50030006
50034100,,50034101
50040000,1,50040003
50044100,1,50040004
50044100,1,50040005
50040000,1,50040007
50044100,1,50044102
50060000,0,50060002
50060000,,50060004
50060000,0,50060006
50060000,0,50060007
50062100,0,50060008
50060000,1,50060009
50060010,,50060010
50060010,,50060011
50060000,,50060016
50062100,0,50062101
50062100,,50062105
50070000,1,50070002
50070001,0,50070003
50070004,1,50070004
50070000,,50070005
50070000,,50070006
50080000,,50080002
50083100,0,50080003
50083100,0,50080004
50084100,1,50080005
50080000,,50080006
50080009,0,50080009
50084100,,50080013
50080009,,50085102
50100000,0,50100002
50100000,,50100004
50100000,0,50100006
50100000,,50100008
50100000,,50100009
50110000,0,50110001
50114100,1,50110003
50114200,0,50110004
50114300,0,50110005
50110000,0,50110006
50110007,1,50110007
50114100,,50114101
50114200,0,50114201
50114300,0,50114301
50110007,,50115101
50130000,0,50130001
50130000,0,50130002
50130004,0,50130004
50132100,1,50130007
50130008,,50130008
50132100,1,50130009
50130004,0,50130011
50130008,0,50130012
50140000,,50140001
50140000,,50140004
50144100,0,50140005
50144200,,50140012
50144200,,50140013
50140014,0,50140014
50140014,1,50140015
50140000,1,50140016
50144100,0,50144102
50144200,,50144208
50164100,0,50160004
50160006,,50160006
50160000,1,50160007
50160000,1,50160012
50164100,0,50164104
50160006,,50165102
50171100,1,50170002
50170006,1,50170006
50170006,,50175002
50190000,,50190001
50190000,,50190006
50424100,0,50420003
50424100,0,50420006
50424100,,50424103
51010000,,51010001
51010000,,51010004
51010000,,51010008
51040000,0,51040001
51040000,0,51040002
51040004,,51040004
51074100,0,51070001
51074100,0,51070002
51073100,1,51070003
51073200,0,51070004
51070000,1,51070006
51074100,0,51070007
51070000,,51070010
51073200,0,51073202
51100000,0,51100001
51100000,0,51100002
51104100,1,51100003
51100000,,51100004
51100000,,51100005
51104100,,51104102
51130000,0,51130001
51130000,0,51130002
51140000,0,51140002
51140003,0,51140003
51144100,1,51140004
51140000,0,51140007
51140000,0,51140008
51160000,0,51160002
51160003,0,51160003
51160000,0,51160004
51160000,0,51160005
51160000,,51160007
51160000,,51160008
51160003,,51165102
51170000,0,51170001
51170000,0,51170002
51170000,0,51170003
51170000,,51170004
51170000,,51170008
51180000,,51180001
51180000,0,51180002
51184100,1,51180003
51184200,0,51180004
51184100,,51184101
52010000,1,52010001
52010000,1,52010002
52010000,,52010004
52014100,1,52010005
52010000,,52010006
52014100,,52014104
52030000,0,52030001
52054100,0,52050001
52050000,0,52050004
52050000,0,52050010
52054100,,52054102
52054200,,52054201
52060000,0,52060002
52060000,,52060003
52060000,0,52060004
52070000,,52070002
52070000,,52070024
52073100,,52073102
52073100,,52073103
52073100,0,52073104
52080000,0,52080001
52080000,0,52080002
52083100,,52083103
52093100,0,52090004
52093100,0,52093106
52104100,0,52100004
52104200,1,52100005
52101100,0,52100006
52101100,0,52100007
52101100,0,52100012
52101100,0,52100013
52100000,1,52100014
52100000,,52100016
52101100,,52101105
52104100,,52104102
52104200,1,52104202
52130000,0,52130001
52130000,0,52130002
52130004,1,52130004
52130000,,52130005
52130004,,52135103
52170000,0,52170002
